#,Product URL,Main Category,Sub-Category,Product Name,Model,Description,Efficiency,Features,Size,Lighting,Market,Additional Model Identification,ENERGY STAR Unique ID,UPC Codes,Additional Model Names and/or Numbers,PDF File URL
1,https://www.energystar.gov/productfinder/product/certified-dehumidifiers/details/2376708,Appliances,Dehumidifiers,CARRIER CORPORATION - DEHXXCDA1100*,,"Dehumidifier Type: Whole-home Dehumidifier
Dehumidifier Water Removal Capacity (pints/day): 85.0
Whole-home Dehumidifier Case Volume (ft3): 3.3",Dehumidifier Efficiency (Integrated Energy Factor - L/kWh): 2.35,"ENERGY STAR Certified: Yes
Most Efficient  
:",,,Date Available on Market: 04/15/2021 Markets: United States,"ENERGY STAR Unique ID: 2376708
Additional Model Names and/or Numbers: ,,* - refrigerant and pallet quantities",2376708,,",,* - refrigerant and pallet quantities",https://www.energystar.gov/productfinder/product/certified-dehumidifiers/details/2376708/export/pdf/download
2,https://www.energystar.gov/productfinder/product/certified-dehumidifiers/details/2377009,Appliances,Dehumidifiers,Healthy Climate - HCWHD4-130,,"Dehumidifier Type: Whole-home Dehumidifier
Dehumidifier Water Removal Capacity (pints/day): 105.0
Whole-home Dehumidifier Case Volume (ft3): 6.6",Dehumidifier Efficiency (Integrated Energy Factor - L/kWh): 2.35,"ENERGY STAR Certified: Yes
Most Efficient  
:",,,Date Available on Market: 04/15/2021 Markets: United States,"ENERGY STAR Unique ID: 2377009
Additional Model Names and/or Numbers: ,HCWHD#-130,",2377009,,",HCWHD#-130,",https://www.energystar.gov/productfinder/product/certified-dehumidifiers/details/2377009/export/pdf/download
3,https://www.energystar.gov/productfinder/product/certified-dehumidifiers/details/2377008,Appliances,Dehumidifiers,Healthy Climate - HCWHD4-100,,"Dehumidifier Type: Whole-home Dehumidifier
Dehumidifier Water Removal Capacity (pints/day): 85.0
Whole-home Dehumidifier Case Volume (ft3): 3.3",Dehumidifier Efficiency (Integrated Energy Factor - L/kWh): 2.35,"ENERGY STAR Certified: Yes
Most Efficient  
:",,,Date Available on Market: 04/15/2021 Markets: United States,"ENERGY STAR Unique ID: 2377008
Additional Model Names and/or Numbers: ,HCWHD#-100,",2377008,,",HCWHD#-100,",https://www.energystar.gov/productfinder/product/certified-dehumidifiers/details/2377008/export/pdf/download
4,https://www.energystar.gov/productfinder/product/certified-dehumidifiers/details/2377007,Appliances,Dehumidifiers,Healthy Climate - HCWHD4-080,,"Dehumidifier Type: Whole-home Dehumidifier
Dehumidifier Water Removal Capacity (pints/day): 65.0
Whole-home Dehumidifier Case Volume (ft3): 3.3",Dehumidifier Efficiency (Integrated Energy Factor - L/kWh): 2.35,"ENERGY STAR Certified: Yes
Most Efficient  
:",,,Date Available on Market: 04/15/2021 Markets: United States,"ENERGY STAR Unique ID: 2377007
Additional Model Names and/or Numbers: ,HCWHD#-080,",2377007,,",HCWHD#-080,",https://www.energystar.gov/productfinder/product/certified-dehumidifiers/details/2377007/export/pdf/download
5,https://www.energystar.gov/productfinder/product/certified-dehumidifiers/details/2376707,Appliances,Dehumidifiers,CARRIER CORPORATION - DEHXXCDA1080*,,"Dehumidifier Type: Whole-home Dehumidifier
Dehumidifier Water Removal Capacity (pints/day): 65.0
Whole-home Dehumidifier Case Volume (ft3): 3.3",Dehumidifier Efficiency (Integrated Energy Factor - L/kWh): 2.35,"ENERGY STAR Certified: Yes
Most Efficient  
:",,,Date Available on Market: 04/15/2021 Markets: United States,"ENERGY STAR Unique ID: 2376707
Additional Model Names and/or Numbers: ,,* - refrigerant and pallet quantities",2376707,,",,* - refrigerant and pallet quantities",https://www.energystar.gov/productfinder/product/certified-dehumidifiers/details/2376707/export/pdf/download
6,https://www.energystar.gov/productfinder/product/certified-dehumidifiers/details/2372432,Appliances,Dehumidifiers,Aprilaire - E100,,"Dehumidifier Type: Whole-home Dehumidifier
Dehumidifier Water Removal Capacity (pints/day): 85.0
Whole-home Dehumidifier Case Volume (ft3): 3.3",Dehumidifier Efficiency (Integrated Energy Factor - L/kWh): 2.35,"ENERGY STAR Certified: Yes
Most Efficient  
:",,,Date Available on Market: 01/29/2021 Markets: United States,"ENERGY STAR Unique ID: 2372432
UPC Codes: 686720006500
Additional Model Names and/or Numbers: E100C,E100C,Has caster wheels; E100H,E100H,Hard wired vaiance; E100V,E100V,Has Vent Option",2372432,686720006500,"E100C,E100C,Has caster wheels; E100H,E100H,Hard wired vaiance; E100V,E100V,Has Vent Option",https://www.energystar.gov/productfinder/product/certified-dehumidifiers/details/2372432/export/pdf/download
7,https://www.energystar.gov/productfinder/product/certified-dehumidifiers/details/2372431,Appliances,Dehumidifiers,Aprilaire - E080,,"Dehumidifier Type: Whole-home Dehumidifier
Dehumidifier Water Removal Capacity (pints/day): 65.0
Whole-home Dehumidifier Case Volume (ft3): 3.3",Dehumidifier Efficiency (Integrated Energy Factor - L/kWh): 2.35,"ENERGY STAR Certified: Yes
Most Efficient  
:",,,Date Available on Market: 01/29/2021 Markets: United States,"ENERGY STAR Unique ID: 2372431
UPC Codes: 686720006425
Additional Model Names and/or Numbers: ,,E080 configured as plug in; E080H,E080H,E080H configured for hard wired",2372431,686720006425,",,E080 configured as plug in; E080H,E080H,E080H configured for hard wired",https://www.energystar.gov/productfinder/product/certified-dehumidifiers/details/2372431/export/pdf/download
8,https://www.energystar.gov/productfinder/product/certified-dehumidifiers/details/2361241,Appliances,Dehumidifiers,Aprilaire - E130,,"Dehumidifier Type: Whole-home Dehumidifier
Dehumidifier Water Removal Capacity (pints/day): 105.0
Whole-home Dehumidifier Case Volume (ft3): 6.6",Dehumidifier Efficiency (Integrated Energy Factor - L/kWh): 2.35,"ENERGY STAR Certified: Yes
Most Efficient  
:",,,Date Available on Market: 10/31/2019 Markets: United States,"ENERGY STAR Unique ID: 2361241
UPC Codes: 686720007071
Additional Model Names and/or Numbers: E130C,E130C,E130 with caster wheels; E130H,E130H,E130 hard wired version",2361241,686720007071,"E130C,E130C,E130 with caster wheels; E130H,E130H,E130 hard wired version",https://www.energystar.gov/productfinder/product/certified-dehumidifiers/details/2361241/export/pdf/download
9,https://www.energystar.gov/productfinder/product/certified-dehumidifiers/details/2856558,Appliances,Dehumidifiers,Santa Fe - Ultra98 : 4034240,,"Dehumidifier Type: Whole-home Dehumidifier
Dehumidifier Water Removal Capacity (pints/day): 67.51
Whole-home Dehumidifier Case Volume (ft3): 4.2",Dehumidifier Efficiency (Integrated Energy Factor - L/kWh): 2.21,"ENERGY STAR Certified: Yes
Most Efficient  : No",,,Date Available on Market: 04/01/2015 Markets: United States,ENERGY STAR Unique ID: 2856558,2856558,,,https://www.energystar.gov/productfinder/product/certified-dehumidifiers/details/2856558/export/pdf/download
10,https://www.energystar.gov/productfinder/product/certified-dehumidifiers/details/2366515,Appliances,Dehumidifiers,Honeywell Home - DR120A3000,,"Dehumidifier Type: Whole-home Dehumidifier
Dehumidifier Water Removal Capacity (pints/day): 98.36
Whole-home Dehumidifier Case Volume (ft3): 4.6",Dehumidifier Efficiency (Integrated Energy Factor - L/kWh): 2.09,"ENERGY STAR Certified: Yes
Most Efficient  : No",,,Date Available on Market: 08/24/2020 Markets: United States,"ENERGY STAR Unique ID: 2366515
UPC Codes: 085267344838",2366515,085267344838,,https://www.energystar.gov/productfinder/product/certified-dehumidifiers/details/2366515/export/pdf/download
